simulation_n,seed,candidate_num,objective_score,S1_discharge_fraction,S1_discharge_mass_kg,S2_discharge_fraction,S2_discharge_mass_kg,S3_discharge_fraction,S3_discharge_mass_kg,diastatic_power_WK,fine_extract_db_pct,moisture_pct,total_protein_pct,wort_colour_EBC,wort_pH
4,45,4,0.39084533256484355,0.536953,4295.620438,0.285242,2281.934307,0.302806,2422.445255,330.13577410762144,81.67413152069754,4.314368779398268,10.647171351923705,3.8841545365548082,5.955939941576952
5,46,1,0.38712242338009595,0.642545,5140.35708,0.383518,3068.14566,0.098937,791.49726,329.4311658157966,81.64604067361469,4.3217841144508276,10.680257484647921,3.8886162270316142,5.954529154500177
5,46,2,0.4106430430513676,0.238811,1910.485934,0.3539,2831.202046,0.532289,4258.31202,333.55170343015936,81.69093700500679,4.287538547148397,10.514127896365816,3.8558921974562805,5.962862315666718
5,46,3,0.39416645980296916,0.535263,4282.103651,0.235703,1885.626755,0.354034,2832.269594,330.72228351353215,81.69360522698884,4.308494916320058,10.620526541059677,3.880223508221327,5.957116982134797
5,46,4,0.39425165364224896,0.425523,3404.183412,0.416275,3330.197296,0.283202,2265.619291,330.9968525800386,81.63930765308548,4.310589246521494,10.622585392179271,3.874860232179632,5.957712040520906
6,47,1,0.38712357851206414,0.633211,5065.691489,0.384874,3078.989362,0.106915,855.319149,329.4322727251019,81.64586348697121,4.321789371373765,10.680256226042808,3.8885969225659056,5.954531524477737
6,47,2,0.4064188389259778,0.318314,2546.511628,0.414244,3313.953488,0.392442,3139.534884,333.0846670764093,81.65091094822432,4.294088886396468,10.540964088783108,3.8576602913422966,5.961942067659007
6,47,3,0.3904755340762961,0.546329,4370.628225,0.283991,2271.930543,0.29468,2357.441232,330.07223425161277,81.67083465092063,4.315095814848171,10.650329994519698,3.884514452815139,5.955813250592913
6,47,4,0.39092792916594793,0.463288,3706.30273,0.455583,3644.665012,0.206129,1649.032258,330.3370711219096,81.6352354038855,4.315834584154717,10.648471889050159,3.880273153874754,5.956375568503315
7,48,1,0.3871195453842292,0.640111,5120.884037,0.389764,3118.110236,0.095126,761.005727,329.42934700290886,81.6462820555968,4.32177927778255,10.680270956379823,3.888645182551029,5.95452529483909
7,48,2,0.4021480448418699,0.36532,2922.559951,0.380957,3047.655415,0.378723,3029.784634,332.3152316326312,81.66466950264731,4.298792210611431,10.566911529793812,3.8650010267912505,5.96037062492017
7,48,3,0.3899770038358263,0.513656,4109.250618,0.536405,4291.243481,0.074938,599.505902,329.96687507348577,81.67027265387789,4.315926687749288,10.654443523655774,3.885383736553166,5.955599770742097
7,48,4,0.38781321681831504,0.555243,4441.94534,0.371626,2973.009676,0.198131,1585.044984,329.58880622688156,81.64711626647062,4.320523016409379,10.674048953429956,3.8873286282493793,5.9548484041216545
8,49,1,0.3871296718836218,0.627644,5021.154536,0.384513,3076.102546,0.112843,902.742919,329.4342847430277,81.64574406612125,4.321783446657201,10.680207497771173,3.8885730913398326,5.954535691633307
8,49,2,0.4022453877033996,0.3643,2914.401486,0.381585,3052.676009,0.379115,3032.922505,332.3328993441611,81.66443244747467,4.298678188671405,10.566297653027123,3.8648368509779862,5.960406653486164
8,49,3,0.3981041222908939,0.786585,6292.682927,0.128049,1024.390244,0.210366,1682.926829,331.8087072032018,81.62147555786656,4.305879858109113,10.595967155816545,3.8669306318199217,5.959372419416101
8,49,4,0.39153899590977936,0.528986,4231.889956,0.279922,2239.378154,0.316091,2528.73189,330.2567750437967,81.67949135880032,4.3130544257897485,10.641366738233913,3.8834181093026086,5.956181841025635
9,50,1,0.3871364703897598,0.641277,5130.215254,0.373904,2991.230401,0.109819,878.554345,329.43663969414473,81.64558728867894,4.321777810897905,10.680154360476104,3.888544253694601,5.954540580856018
9,50,2,0.40389115691442695,0.334459,2675.675676,0.432586,3460.687961,0.357955,2863.636364,332.7321622327712,81.6384696936346,4.297675514183471,10.557147123584702,3.859981972443195,5.961235152715175
9,50,3,0.3976608111680081,0.512414,4099.315068,0.211901,1695.205479,0.400685,3205.479452,331.293258185679,81.71282100951849,4.302756934315894,10.59452836932185,3.8764109262922317,5.958262667624576
9,50,4,0.39128092233701206,0.457554,3660.434258,0.46106,3688.480097,0.206386,1651.085645,330.41683040217566,81.63417086723422,4.315319412582823,10.64569930848423,3.8795323096995458,5.9565382122867865
10,51,1,0.38712694693224253,0.651121,5208.969805,0.386257,3090.053286,0.087622,700.976909,329.43012215992087,81.64649253032522,4.3217574027375,10.68019340575218,3.8886502503178892,5.954526722178567
10,51,2,0.4118557392427618,0.201316,1610.526316,0.621711,4973.684211,0.301974,2415.789474,334.13986225779183,81.60570648875877,4.289650587873083,10.511415421191684,3.8461301702490607,5.964115415675332
10,51,3,0.4008665944319173,0.383981,3071.848912,0.358423,2867.387437,0.382595,3060.763651,332.04193502803645,81.6758362145082,4.299983082763257,10.574688709396895,3.8679572680877494,5.959808101510512
10,51,4,0.38924907962828964,0.587886,4703.089615,0.280158,2241.264963,0.256956,2055.645422,329.872177616939,81.65636986034374,4.317696914173982,10.661211086876728,3.8854207391050877,5.955417197716836
11,52,1,0.38712295109922,0.631387,5051.094891,0.393451,3147.607461,0.100162,801.297648,329.4303127763792,81.64624917252543,4.321774567018992,10.68024196603576,3.8886351012396245,5.954527278112157
11,52,2,0.4027193500251697,0.359344,2874.752964,0.384634,3077.075099,0.381021,3048.171937,332.41858562838144,81.66327557233735,4.298125744849581,10.563322071035184,3.8640402187334306,5.960581392705027
11,52,3,0.38852144928530946,0.532177,4257.412399,0.363976,2911.809299,0.228847,1830.778302,329.7375730086382,81.65015850350588,4.319178051216735,10.66772533813269,3.8862261304628207,5.955148275308904
11,52,4,0.3878762906779543,0.633527,5068.214804,0.302612,2420.899855,0.188861,1510.885341,329.61602380948966,81.64444566569361,4.320523470338122,10.673631583176062,3.8869476326283654,5.954905508071934
12,53,1,0.3871442985530027,0.618321,4946.564885,0.398776,3190.211046,0.107903,863.224068,329.43524504785563,81.64628146001034,4.321735213968237,10.680048025783858,3.888594738822322,5.954537267779828
12,53,2,0.4029887603777705,0.356595,2852.760736,0.386174,3089.395267,0.38223,3057.843996,332.46652556890893,81.66272527706444,4.297809256097787,10.561635067233224,3.8635999036923914,5.960679088836361
12,53,3,0.39152722576270244,0.537363,4298.906928,0.272344,2178.749397,0.315293,2522.343675,330.2570511203091,81.67891569735929,4.313096335252829,10.641488219292192,3.8833837684831307,5.956182801202247
12,53,4,0.3929160371173715,0.433847,3470.773931,0.468559,3748.472505,0.222594,1780.753564,330.77762950821494,81.62927480120973,4.312995133713676,10.633175716399261,3.8761765529884458,5.957274003680366
13,54,1,0.38711957592447926,0.63806,5104.477612,0.389552,3116.41791,0.097388,779.104478,329.4296864593048,81.64621129582356,4.321782144373381,10.680274333746224,3.888638350115799,5.954526033045293
13,54,2,0.40638179206251496,0.292526,2340.206186,0.523196,4185.56701,0.309278,2474.226804,333.27422243388924,81.6095782945215,4.295828627034707,10.5432670744289,3.8537439015427397,5.962355552065117
13,54,3,0.40075231668675204,0.387081,3096.649485,0.352702,2821.612666,0.385217,3081.73785,332.0074801821604,81.67889747958365,4.300006911254968,10.575290269423975,3.8684218242319086,5.959736035239718
13,54,4,0.3882521988736136,0.525791,4206.325301,0.430535,3444.277108,0.168675,1349.39759,329.7047434622223,81.64404560624924,4.319890528758143,10.67036784070178,3.886167119473484,5.955085879203162
14,55,1,0.3871249721962264,0.630952,5047.619048,0.396627,3173.015873,0.097421,779.365079,329.4299977047199,81.6464188444433,4.321763962274854,10.680214999059642,3.88864722037745,5.954526520715897
14,55,2,0.3975075402654545,0.08619,689.516129,0.898185,7185.483871,0.140625,1125.0,331.55340075741765,81.65244003841222,4.3054238589226514,10.598526949730758,3.8708329871133498,5.958832666040732
14,55,3,0.4040122925845216,0.345835,2766.682006,0.392948,3143.580304,0.386217,3089.73769,332.6496113642871,81.66009017467542,4.296641317265704,10.555314546192692,3.8618886732572903,5.961052567284836
14,55,4,0.39378052385240814,0.524934,4199.472759,0.248852,1990.813229,0.351214,2809.714012,330.6452202711495,81.6937747363363,4.309058295356736,10.623402266514063,3.8808915855986013,5.956960432624535
15,56,1,0.3871265738444417,0.647556,5180.449141,0.381539,3052.311757,0.095905,767.239102,329.43181363124467,81.64611329861133,4.321773721934377,10.680216340707059,3.888614724869478,5.954530419076139
15,56,2,0.40511755677388944,0.334302,2674.418605,0.399709,3197.674419,0.390988,3127.906977,332.84306678376726,81.65755080819542,4.295388514666297,10.548579901171706,3.860094132217975,5.961447028700674
15,56,3,0.39101174062776956,0.56147,4491.757585,0.262324,2098.590428,0.301206,2409.651987,330.1830771772669,81.67162200137244,4.314206716518165,10.64595742375039,3.8836108190739655,5.956037705487089
15,56,4,0.39081484984982695,0.467068,3736.544156,0.478434,3827.469082,0.179498,1435.986762,330.29950904168373,81.63810257814778,4.315896476891718,10.64923544541848,3.880753484754502,5.956297329597653
16,57,1,0.38703778482841633,0.001292,10.33965,1.0,8000.0,0.123708,989.66035,329.4112949936571,81.64597197909485,4.321937968524699,10.681024751825525,3.8887822467560635,5.95448886613412
16,57,2,0.40053789626817315,0.39345,3147.596289,0.340947,2727.579421,0.390603,3124.82429,331.94050523197933,81.68510164065702,4.300033863321759,10.576401509473286,3.8693389353187295,5.9595957733700144
16,57,3,0.4037660235213938,0.161914,1295.308407,0.858061,6864.491546,0.105025,840.200048,332.498470120766,81.6832234500671,4.296004521874828,10.555729409920392,3.864465660723677,5.9607296987039655
16,57,4,0.39241257598312973,0.134857,1078.859356,0.990143,7921.140644,0.0,0.0,330.17218769111264,81.7347953623145,4.3094624121332545,10.631892041151874,3.8872135227686457,5.9559717303713775
17,58,1,0.3871216862515162,0.638026,5104.206836,0.395771,3166.170026,0.091203,729.623138,329.4285560820822,81.64655917014943,4.321764024315959,10.680237363992767,3.8886673378110177,5.95452349689675
17,58,2,0.4120881010838055,0.162332,1298.657718,0.505872,4046.979866,0.456795,3654.362416,334.1243147066741,81.61636911157908,4.288952356383951,10.509559919818404,3.8468554232358096,5.964076450876234
17,58,3,0.4008345245085179,0.351878,2815.020747,0.555405,4443.236515,0.217718,1741.742739,332.29437009548445,81.62140245110903,4.302253348373199,10.577615889804447,3.862775605442088,5.960358324346367
17,58,4,0.4004180960337691,0.39751,3180.081855,0.333433,2667.462483,0.394057,3152.455662,331.90100565044924,81.68898689708226,4.3000324757537145,10.577005032638844,3.86989238615885,5.959512894500802
18,59,1,0.38712063273796815,0.641227,5129.81904,0.385917,3087.332809,0.097856,782.848151,329.4303779385998,81.64611763293026,4.321784127858209,10.680269646057704,3.8886272365422805,5.9545275017328345
18,59,2,0.4050096389423654,0.353757,2830.057803,0.343353,2746.820809,0.42789,3423.121387,332.6704496616111,81.69002926451668,4.294198461491216,10.54766538967963,3.863373850920917,5.961074076212741
18,59,3,0.39835152774841665,0.377329,3018.63354,0.545683,4365.465839,0.201988,1615.900621,331.8297741111102,81.62654800387779,4.305334827932659,10.594007959011662,3.8670323753341482,5.959411660906612
18,59,4,0.388791136803374,0.550394,4403.15534,0.324029,2592.23301,0.250576,2004.61165,329.76736961888037,81.65681262857164,4.31844691209932,10.665073511392107,3.886341132195174,5.955204138960792
19,60,1,0.38733849891525185,0.598742,4789.936102,0.359625,2876.996805,0.166633,1333.067093,329.4841956184322,81.645670235315,4.321415821416617,10.678336762427815,3.8881424009497025,5.954637057715883
19,60,2,0.4083761617694509,0.301255,2410.041841,0.258891,2071.129707,0.564854,4518.828452,332.99175566167696,81.7347686561019,4.288377939590786,10.525260654746562,3.8631131675468837,5.961695230908888
19,60,3,0.3972189749413239,0.557713,4461.705453,0.188347,1506.773185,0.37894,3031.521362,331.29405988360486,81.69570816803854,4.304058169658131,10.598419741534318,3.8754533607576547,5.9582761789205385
19,60,4,0.4030267361116099,0.345726,2765.810277,0.419096,3352.766798,0.360178,2881.422925,332.55937367724516,81.64451639344381,4.298505835606892,10.562296373324598,3.861794725471278,5.960880207618619
20,61,1,0.3872825343983602,0.593831,4750.650283,0.376177,3009.417885,0.154991,1239.931832,329.4714981811103,81.64555275969298,4.321519754716004,10.67884390751554,3.888244399631574,5.954611364583663
20,61,2,0.40627200446728723,0.298647,2389.175258,0.490013,3920.103093,0.33634,2690.721649,333.22238160181047,81.61684645027115,4.295661119223222,10.543562102257196,3.854590772008136,5.962245272276456
20,61,3,0.39991756093491043,0.497617,3980.936293,0.198178,1585.42471,0.429205,3433.638996,331.6481741857915,81.7233265223448,4.299300143538255,10.578697750833358,3.8739610958072634,5.958975821275085
20,61,4,0.3924631041638447,0.68823,5505.841121,0.193195,1545.560748,0.243575,1948.598131,330.6787031279331,81.63070020720286,4.313626082574213,10.636590507292897,3.877101266828082,5.957072201718366
21,62,1,0.3871247182476552,0.636701,5093.60669,0.381677,3053.412463,0.106623,852.980847,329.4328462415008,81.64579914682774,4.321789997127467,10.680249279974694,3.888588446263927,5.954532733347663
21,62,2,0.40745783763983745,0.527262,4218.097448,0.093968,751.740139,0.50377,4030.162413,332.8776481135337,81.72856906013078,4.2897048882541835,10.530997001477411,3.8637440237377465,5.96146790761392
21,62,3,0.4032366119937428,0.341908,2735.263523,0.425971,3407.76699,0.357121,2856.969487,332.61044242405694,81.64115964086777,4.298380329817903,10.561134182929754,3.8611717542015693,5.960986203887974
21,62,4,0.3923328415175453,0.572201,4577.606378,0.235744,1885.951989,0.317055,2536.441633,330.4455907911758,81.67438614125595,4.312032324104666,10.635395575526676,3.8815206762990413,5.956568666144674
22,63,1,0.3871207128004134,0.635602,5084.813146,0.387424,3099.390406,0.101975,815.796448,329.43076802010376,81.64603859795596,4.321787247975878,10.680273005156804,3.8886195116804276,5.9545283484503475
22,63,2,0.40520400059841194,0.331871,2654.968728,0.404969,3239.749826,0.38816,3105.281445,332.87080089942026,81.65467664309453,4.295400655686752,10.54818964553071,3.859697412655506,5.961505322532999
22,63,3,0.3924360215210843,0.634297,5074.3762,0.207204,1657.629559,0.283499,2267.994242,330.587224850425,81.64895453738943,4.312915786991112,10.635866978659106,3.878897261902617,5.9568738320154955
22,63,4,0.38992736613787055,0.491999,3935.989606,0.385004,3080.034647,0.247997,1983.975747,330.06087493703035,81.64809151768544,4.316918089664828,10.655971577655558,3.8833480335720103,5.955805985997715
23,64,1,0.3871199238812117,0.6392,5113.600282,0.38737,3098.959252,0.09843,787.440466,329.4301452125054,81.64613123173703,4.321784829533405,10.680275331484745,3.8886299811434633,5.954527019875142
23,64,2,0.4062720128911602,0.319931,2559.449867,0.413265,3306.122449,0.391803,3134.427684,333.059382177691,81.6512832439541,4.294249543604109,10.541835058847846,3.857897084683852,5.9618904829370125
23,64,3,0.391972445619414,0.587358,4698.867076,0.232628,1861.022226,0.305014,2440.110698,330.40445732270217,81.66740328417349,4.312873358891753,10.638551502479837,3.881484307901072,5.9564900179256615
23,64,4,0.39223351043178817,0.469347,3754.77707,0.354697,2837.579618,0.300955,2407.643312,330.47993438948765,81.6628503586514,4.3126566865705245,10.6367402998733,3.8805862644593687,5.956646391674042
24,65,1,0.3871195145718734,0.639493,5115.944526,0.390247,3121.97433,0.09526,762.081144,329.4293050002282,81.64628943892158,4.3217790279011865,10.680270852930812,3.888645951733009,5.954525204449931
24,65,2,0.4097048879415328,0.277383,2219.060797,0.439181,3513.448067,0.408436,3267.491136,333.64496820670524,81.64135989234896,4.290628194711659,10.52196199633951,3.8523407785774615,5.963086063742216
24,65,3,0.3942196512698096,0.63554,5084.319654,0.185929,1487.429806,0.303531,2428.25054,330.93636252395896,81.65079029534729,4.3101644831356385,10.622241718269084,3.876015165776055,5.9575812768200285
24,65,4,0.40676435982788206,0.300466,2403.726708,0.614907,4919.254658,0.209627,1677.018634,333.2489343892428,81.62789088092094,4.294618868898987,10.540026846862458,3.8549774045875504,5.9622915024219685
25,66,1,0.3871226573447892,0.645004,5160.031637,0.384491,3075.929344,0.095505,764.039019,329.43062574433725,81.64616759694829,4.321778457914355,10.680248823830187,3.888627894323304,5.954527970060068
25,66,2,0.39842861557655984,0.107484,859.872611,0.365446,2923.566879,0.65207,5216.56051,331.652733109829,81.66690537084341,4.303575998093904,10.59145517720742,3.870787622227804,5.959024256856439
25,66,3,0.4011587509316064,0.374534,2996.270765,0.37803,3024.240027,0.372436,2979.489208,332.14374153732206,81.66508350979856,4.300043096461699,10.573302496503214,3.866489754498877,5.960022227178998
25,66,4,0.3948408312865444,0.655077,5240.614482,0.173114,1384.914128,0.296809,2374.47139,331.0976060277198,81.64233552430609,4.309604452797085,10.6180809579648,3.8741673066689715,5.957914458719944
26,67,1,0.387135321009223,0.6218,4974.39759,0.394567,3156.537916,0.108633,869.064493,329.4338908023775,81.6461146070079,4.321758087587919,10.680137481188718,3.8885970439587503,5.954534634647395
26,67,2,0.41028938732031656,0.047493,379.94723,0.602573,4820.580475,0.474934,3799.472296,333.93548831451614,81.59881186406444,4.291705698202754,10.52072496669263,3.847493921383784,5.963705341972156
26,67,3,0.40357692089698854,0.365043,2920.342034,0.347322,2778.577858,0.412635,3301.080108,332.45437768972647,81.6858715820825,4.296131985099377,10.556790144686952,3.8649896375539305,5.960638355856973
26,67,4,0.39408615361354316,0.624825,4998.600593,0.191143,1529.140599,0.309032,2472.258808,330.8866993169541,81.65573253965653,4.310158363457134,10.622987408572108,3.876714206759088,5.957477032640424
27,68,1,0.38712002217763314,0.6419,5135.196706,0.388077,3104.617541,0.095023,760.185753,329.4296191378228,81.6462482853885,4.321779822254236,10.680268403103895,3.8886409804889093,5.954525870701241
27,68,2,0.4044603674183017,0.360902,2887.218045,0.336936,2695.488722,0.427162,3417.293233,332.5667592874831,81.69290708317374,4.294754090321256,10.5509275126948,3.8644199722491126,5.960861595130506
27,68,3,0.39510433671031164,0.646157,5169.253511,0.173134,1385.070214,0.30571,2445.676275,331.12761220235666,81.64677734144048,4.3090407421693495,10.615928192625635,3.8741576112564644,5.9579722840945974
27,68,4,0.3891748278929581,0.553537,4428.29382,0.308358,2466.86747,0.263105,2104.83871,329.8367715891127,81.6603603386323,4.317656874641025,10.661635676398264,3.885945047965789,5.955342555341028
28,69,1,0.3871222368405624,0.633409,5067.273204,0.386679,3093.430146,0.104912,839.296649,329.43154129361716,81.64595121646116,4.321788139922765,10.680263784481877,3.88860804797761,5.954529978811083
28,69,2,0.40620823450261195,0.351852,2814.814815,0.3125,2500.0,0.460648,3685.185185,332.7762310033447,81.70836961658345,4.292006362597085,10.5394616877398,3.8634886453371604,5.961276066939719
28,69,3,0.4000123794406672,0.8125,6500.0,0.113636,909.090909,0.198864,1590.909091,332.1274273117533,81.62632427236663,4.303125879640507,10.582801834125316,3.8644759013558083,5.960016026832579
28,69,4,0.39618377870755034,0.592915,4743.322956,0.182124,1456.988366,0.349961,2799.688678,331.19479014277874,81.67601869467178,4.306304628559315,10.606686345019808,3.875207960449468,5.958088343076649
29,70,1,0.38712821738296327,0.644631,5157.045144,0.378796,3030.369357,0.101573,812.585499,329.4332662444213,81.64588724458298,4.321780126390351,10.680213206179952,3.8885897508151124,5.954533524738698
29,70,2,0.40723262850800085,0.311239,2489.913545,0.197767,1582.132565,0.615994,4927.95389,332.74641242502315,81.74832310774018,4.289177361988692,10.53143343327341,3.86596314337853,5.961187792294351
29,70,3,0.39919312598117024,0.636749,5093.992644,0.138384,1107.069881,0.349867,2798.937474,331.8375157735791,81.65692217429898,4.302956681754881,10.58675441797881,3.8686536611911473,5.9594062826458405
29,70,4,0.4070488313701077,0.304702,2437.617555,0.43942,3515.360502,0.380878,3047.021944,333.2447694056382,81.63832741368675,4.2938527821388135,10.537792663252775,3.855592810113895,5.962275800269035
30,71,1,0.3871603052362647,0.614425,4915.403692,0.404967,3239.735464,0.105608,844.860843,329.4376247674545,81.64658600274672,4.3216941532387025,10.679888232524497,3.8885913183794805,5.9545418869192055
30,71,2,0.41275433169818215,0.732955,5863.636364,0.011364,90.909091,0.380682,3045.454545,334.18996297808525,81.6234662480103,4.287919254722931,10.505450641429022,3.846688612256255,5.964204782689266
30,71,3,0.41004885067414765,0.259794,2078.350515,0.480155,3841.237113,0.385052,3080.412371,333.7830612436768,81.62333745582053,4.290972161541764,10.520869388568727,3.850159249736382,5.963378896385366
30,71,4,0.4039044360623373,0.445073,3560.583942,0.192347,1538.772005,0.487581,3900.644053,332.244363441133,81.74078200505728,4.293508058280417,10.55214935266997,3.8698352101858067,5.960173912644086
31,72,1,0.3871300710421505,0.625999,5007.988062,0.39689,3175.122893,0.102111,816.889045,329.4316662975652,81.64632212590068,4.321758871704213,10.680174056688555,3.888627585647771,5.954529974982413
31,72,2,0.41158684698332193,0.048913,391.304348,0.671739,5373.913043,0.404348,3234.782609,334.1314735766667,81.59891976344962,4.290231754141758,10.513287976630407,3.8458248280833836,5.964103100373317
31,72,3,0.4038718379296764,0.381016,3048.12559,0.297632,2381.058591,0.446352,3570.815819,332.3758276518055,81.71244111264501,4.294689815046201,10.553672096649288,3.8671370904306603,5.960460454930781
31,72,4,0.3896139940288025,0.526088,4208.70623,0.327852,2622.816926,0.27106,2168.476844,329.9278038503316,81.66171304371724,4.31687274617724,10.657882794680463,3.885242144733594,5.955526403672238
32,73,1,0.38712160931492506,0.640131,5121.05116,0.395443,3163.54487,0.089425,715.40397,329.4283243302627,81.64660462722165,4.321762285087405,10.68023571171971,3.888671843988702,5.954522994892954
32,73,2,0.411819151807284,0.232206,1857.651246,0.47242,3779.359431,0.420374,3362.989324,334.0279166428365,81.62823758292812,4.28876666273588,10.510485886010157,3.848338697830738,5.963872529051803
32,73,3,0.39098482012028984,0.473923,3791.381733,0.387506,3100.046838,0.263571,2108.571429,330.287557674771,81.64832994916208,4.315204599264444,10.647343679719931,3.881423820468226,5.956265967003324
32,73,4,0.38879431895690975,0.617441,4939.524096,0.27678,2214.242763,0.230779,1846.233141,329.8084581346968,81.6482454558956,4.318794062992077,10.665482833057816,3.8855139942617485,5.955293494561531
33,74,1,0.38712155837211626,0.641861,5134.89158,0.384504,3076.03492,0.098634,789.0735,329.4308342729769,81.64606740057302,4.321784552295074,10.680263898839426,3.8886205455619476,5.9545284629362
33,74,2,0.39770805580498586,0.087097,696.774194,0.388306,3106.451613,0.649597,5196.774194,331.5898446345557,81.65251924766288,4.305145257852795,10.59713047148829,3.870525901497889,5.958906588990037
33,74,3,0.4011307004854744,0.391525,3132.199861,0.332972,2663.775156,0.400503,3204.024983,332.0183408338294,81.69033979404924,4.299051622744311,10.572257316943253,3.8689646822862445,5.959750135382634
33,74,4,0.3896957061134827,0.4916,3932.801502,0.401748,3213.984045,0.231652,1853.214453,330.02954554191643,81.64395508651262,4.317468368077918,10.658104403588887,3.883386004447996,5.955745262525008
34,75,1,0.3871219859536153,0.638296,5106.366048,0.383952,3071.618037,0.102752,822.015915,329.43152940692073,81.64594101509542,4.321789008089991,10.680266571855809,3.888607582830763,5.954529961766386
34,75,2,0.4098306546215966,0.298567,2388.535032,0.341561,2732.484076,0.484873,3878.980892,333.3982826508799,81.69708176025509,4.288216533745301,10.51852217583775,3.857544861459642,5.962546617406523
34,75,3,0.389279145404725,0.549803,4398.426813,0.539159,4313.269494,0.036038,288.303694,329.778291577385,81.6776079314221,4.316776700706862,10.659894847083894,3.887403076725288,5.955211868420521
34,75,4,0.399809782512822,0.384192,3073.535521,0.38279,3062.318238,0.358018,2864.14624,331.929083500421,81.66069076113611,4.3019840022177585,10.582427645108336,3.8680803969825948,5.959589540230835
35,76,1,0.3878825370390096,0.0,0.0,0.314988,2519.904879,0.810012,6480.095121,329.65455678938156,81.636537848497,4.32083936571239,10.673986454223607,3.886178967742298,5.954989218267419
35,76,2,0.3996748354782086,0.38512,3080.958156,0.383414,3067.313523,0.356466,2851.72832,331.907678459488,81.66017489772274,4.302183488885051,10.583355413432262,3.8682346869718782,5.959546448065714
35,76,3,0.40769030346528534,0.257809,2062.468042,0.274011,2192.091358,0.59318,4745.4406,332.9167641419967,81.72805467587845,4.289451647094779,10.529635492945925,3.863381121805241,5.961547667019735
35,76,4,0.39668643116870633,0.139241,1113.926218,0.250556,2004.450912,0.735203,5881.622871,331.1326225913019,81.70872926309875,4.304270832851846,10.60154138176628,3.8775565608447864,5.957939432588098
36,77,1,0.3871214438491222,0.633338,5066.705872,0.392611,3140.888852,0.099051,792.405276,329.4299480187111,81.64625038039965,4.3217772026393675,10.680255484553314,3.888638285930655,5.9545265368464655
36,77,2,0.4027569423675445,0.198063,1584.507042,0.269366,2154.929577,0.65757,5260.56338,332.1437520876065,81.72195535106044,4.295698640796935,10.560268967196855,3.869649211062275,5.959982754260963
