lot_id,supplier,source,moisture_pct,fine_extract_db_pct,wort_pH,diastatic_power_WK,total_protein_pct,wort_colour_EBC
LOT037,SPEC_LOT037,lot,3.667,84.747,0.0,0.0,11.437,0.0
LOT038,SPEC_LOT038,lot,3.627,84.984,0.0,0.0,10.506,0.0
LOT039,SPEC_LOT039,lot,2.472,86.686,0.0,0.0,10.69,0.0
LOT040,SPEC_LOT040,lot,2.706,79.959,0.0,0.0,10.689,0.0
LOT041,SPEC_LOT041,lot,3.258,83.669,0.0,0.0,9.909,0.0
LOT042,SPEC_LOT042,lot,2.716,82.166,0.0,0.0,10.132,0.0
LOT043,SPEC_LOT043,lot,2.218,82.666,0.0,0.0,9.647,0.0
LOT044,SPEC_LOT044,lot,2.796,86.466,0.0,0.0,10.239,0.0
LOT045,SPEC_LOT045,lot,4.501,84.628,0.0,0.0,10.808,0.0
LOT046,SPEC_LOT046,lot,4.451,81.395,0.0,0.0,9.769,0.0
LOT047,SPEC_LOT047,lot,2.321,83.426,0.0,0.0,10.935,0.0
LOT048,SPEC_LOT048,lot,3.903,81.112,0.0,0.0,11.192,0.0
LOT049,SPEC_LOT049,lot,3.271,81.213,0.0,0.0,10.774,0.0
LOT050,SPEC_LOT050,lot,4.224,83.413,0.0,0.0,9.65,0.0
LOT051,SPEC_LOT051,lot,4.712,83.365,0.0,0.0,9.796,0.0
LOT052,SPEC_LOT052,lot,2.925,86.192,0.0,0.0,11.298,0.0
LOT053,SPEC_LOT053,lot,2.749,79.822,0.0,0.0,10.313,0.0
LOT054,SPEC_LOT054,lot,2.464,86.439,0.0,0.0,11.122,0.0
LOT055,SPEC_LOT055,lot,2.074,84.893,0.0,0.0,11.104,0.0
LOT056,SPEC_LOT056,lot,4.432,81.134,0.0,0.0,11.244,0.0
LOT057,SPEC_LOT057,lot,2.667,85.533,0.0,0.0,11.091,0.0
LOT058,SPEC_LOT058,lot,2.071,80.545,0.0,0.0,11.434,0.0
LOT059,SPEC_LOT059,lot,3.924,82.197,0.0,0.0,11.378,0.0
LOT060,SPEC_LOT060,lot,4.911,80.429,0.0,0.0,9.717,0.0
LOT061,SPEC_LOT061,lot,4.186,81.509,0.0,0.0,10.27,0.0
LOT062,SPEC_LOT062,lot,2.764,84.67,0.0,0.0,10.577,0.0
LOT063,SPEC_LOT063,lot,4.226,84.365,0.0,0.0,10.828,0.0
LOT064,SPEC_LOT064,lot,2.942,85.784,0.0,0.0,10.119,0.0
LOT065,SPEC_LOT065,lot,3.207,81.365,0.0,0.0,11.381,0.0
LOT066,SPEC_LOT066,lot,4.708,83.924,0.0,0.0,9.501,0.0
LOT067,SPEC_LOT067,lot,3.29,83.64,0.0,0.0,10.384,0.0
LOT068,SPEC_LOT068,lot,3.42,86.209,0.0,0.0,9.67,0.0
LOT069,SPEC_LOT069,lot,3.899,81.682,0.0,0.0,10.846,0.0
LOT070,SPEC_LOT070,lot,2.597,79.195,0.0,0.0,11.199,0.0
LOT071,SPEC_LOT071,lot,3.243,84.038,0.0,0.0,10.489,0.0
LOT072,SPEC_LOT072,lot,3.968,79.044,0.0,0.0,9.713,0.0
LOT073,SPEC_LOT073,lot,2.528,86.664,0.0,0.0,9.998,0.0
LOT074,SPEC_LOT074,lot,3.369,85.411,0.0,0.0,10.691,0.0
LOT075,SPEC_LOT075,lot,4.674,83.901,0.0,0.0,11.161,0.0
LOT076,SPEC_LOT076,lot,4.692,84.949,0.0,0.0,9.994,0.0
LOT077,SPEC_LOT077,lot,4.297,83.17,0.0,0.0,9.655,0.0
LOT078,SPEC_LOT078,lot,2.815,81.558,0.0,0.0,9.963,0.0
LOT079,SPEC_LOT079,lot,4.119,79.514,0.0,0.0,10.332,0.0
LOT080,SPEC_LOT080,lot,3.26,86.239,0.0,0.0,11.213,0.0
LOT081,SPEC_LOT081,lot,3.141,79.047,0.0,0.0,11.207,0.0
LOT082,SPEC_LOT082,lot,3.257,84.98,0.0,0.0,9.941,0.0
LOT083,SPEC_LOT083,lot,3.308,79.232,0.0,0.0,10.309,0.0
LOT084,SPEC_LOT084,lot,3.402,80.021,0.0,0.0,10.288,0.0
LOT085,SPEC_LOT085,lot,2.081,84.142,0.0,0.0,9.601,0.0
LOT086,SPEC_LOT086,lot,2.635,81.615,0.0,0.0,11.004,0.0
LOT087,SPEC_LOT087,lot,2.757,79.655,0.0,0.0,11.5,0.0
LOT088,SPEC_LOT088,lot,3.95,85.25,0.0,0.0,11.399,0.0
LOT089,SPEC_LOT089,lot,2.061,80.219,0.0,0.0,10.628,0.0
LOT090,SPEC_LOT090,lot,4.098,85.135,0.0,0.0,10.996,0.0
LOT091,SPEC_LOT091,lot,4.458,86.718,0.0,0.0,10.124,0.0
LOT092,SPEC_LOT092,lot,4.875,82.173,0.0,0.0,10.881,0.0
LOT093,SPEC_LOT093,lot,2.306,85.18,0.0,0.0,9.742,0.0
LOT094,SPEC_LOT094,lot,4.348,81.778,0.0,0.0,10.512,0.0
LOT095,SPEC_LOT095,lot,4.549,85.579,0.0,0.0,10.771,0.0
LOT096,SPEC_LOT096,lot,4.122,82.484,0.0,0.0,10.04,0.0
LOT097,SPEC_LOT097,lot,3.615,82.868,0.0,0.0,10.037,0.0
LOT098,SPEC_LOT098,lot,4.492,79.693,0.0,0.0,10.429,0.0
LOT099,SPEC_LOT099,lot,3.137,79.23,0.0,0.0,9.924,0.0
LOT100,SPEC_LOT100,lot,3.021,86.043,0.0,0.0,9.52,0.0
LOT001,SPEC_LOT001,supplier_fallback,3.918,79.2,5.638,227.901,10.973,3.918
LOT002,SPEC_LOT002,supplier_fallback,4.677,79.696,5.711,203.725,9.937,3.61
LOT003,SPEC_LOT003,supplier_fallback,2.08,80.591,5.825,268.118,9.941,3.761
LOT004,SPEC_LOT004,supplier_fallback,4.428,79.052,5.903,287.267,10.181,2.98
LOT005,SPEC_LOT005,supplier_fallback,4.872,81.693,5.546,212.09,11.195,3.787
LOT006,SPEC_LOT006,supplier_fallback,4.421,84.838,5.768,321.639,10.257,3.694
LOT007,SPEC_LOT007,supplier_fallback,4.488,83.948,5.931,272.169,10.909,2.782
LOT008,SPEC_LOT008,supplier_fallback,2.684,81.315,5.54,229.099,9.702,3.2
LOT009,SPEC_LOT009,supplier_fallback,3.907,81.919,5.685,226.188,10.034,4.386
LOT010,SPEC_LOT010,supplier_fallback,3.944,83.873,5.586,291.141,9.827,3.383
LOT011,SPEC_LOT011,supplier_fallback,4.969,84.12,5.778,285.577,11.186,4.097
LOT012,SPEC_LOT012,supplier_fallback,2.687,79.257,5.658,233.468,9.922,4.397
